Chamonix,France,Geneva,1hr 10,56,11,25,20,Fab,48.00,3,3,1035
Morzine,France,Geneva,1hr 15,650,331,254,65,Good,48.50,4,4,1100
Avoriaz,France,Geneva,1hr 35,650,331,254,65,Good,48.50,5,4,1100
Val d'Isere,France,Geneva ,3hr +,300,170,78,52,Fab,52.00,4,5,1850
Courmayer,Italy,Geneva ,1hr 30,41,16,21,4,Good,46.00,3,3,1224
Sauze d'Oulx,Italy,Turin ,1hr,400,96,220,84,OK,47.00,3,4,1510
