Chamonix,France,Geneva,1hr 10,56,11,25,20
Morzine,France,Geneva,1hr 15,650,331,254,65
Avoriaz,France,Geneva,1hr 35,650,331,254,65
Val d'Isere,France,Geneva ,3hr +,300,170,78,52
Courmayer,Italy,Geneva ,1hr 30,41,16,21,4
Sauze d'Oulx,Italy,Turin ,1hr,400,96,220,84
